METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,HOSTROCK_TYPE1,HOSTROCK_TYPE2,HOSTROCK_TYPE3,HOSTROCK_TYPE4,MORPH-STRATABOUND,MORPH-SEDIMENTARY,MORPH-BEDDED,MORPH-SHEAR,MORPH-CONCORDANT,MORPH-DISCORDANT,MORPH-LENSOID,MORPH-RESIDUAL,MORPH-VEIN,MORPH-REMOBILISED,MORPH-MAGMATIC,MORPH-QUARTZ,MORPH-VOLCANIC,MORPH-OTHER,RESERVE_AMT
EASTERN GHAT BELT,BAGHDAPA,ORISSA,73 C,Be,PEGMATITE IN GRANULITE,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38146.0
SARGIPALLI BELT,SARGIPALLI,ORISSA,64 N,Pb,GARNETIFEROUS MICA SCHIST,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.63
RORO-JOJOHATU BELT,"RORO,JOJOHATU",JHARKHAND,73,Cr,ULTRAMAFIC SUIT,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123283.0
BONAI-NOAMUNDI-JAMDA BELT,ITAR-BALIJODI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.0
BONAI-NOAMUNDI-JAMDA BELT,MERALGORA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE,BHQ,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.5
BONAI-NOAMUNDI-JAMDA BELT,KUMITRA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.5
BONAI-NOAMUNDI-JAMDA BELT,THAKURANI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2.66
BONAI-NOAMUNDI-JAMDA BELT,NOAMUNDI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,201.6
BONAI-NOAMUNDI-JAMDA BELT,JODA,ORISSA,73,Fe-Hematite,BHJ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,197.53
BONAI-NOAMUNDI-JAMDA BELT,GHATKURI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,12.5
BONAI-NOAMUNDI-JAMDA BELT,KANTORIA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.7
NOAMUNDI-JAMDA SECTOR,SARAMDAH-BHADRASAI,ORISSA,73,Mn,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6.814
BONAI-KEONJHAR RANGE BELT,KHANDBAND,ORISSA,73 G,Fe-Hematite-Mn,BHQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,69.27
CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe-Hematite,BHJ,QTZT,PHYLLITE,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.25
CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe-Hematite,SHALE,BHQ,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50.0
NOAMUNDI-JAMDA SECTOR,ROIDA,ORISSA,73,Mn-Fe,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.91
NOAMUNDI-JAMDA BELT,KATSAI,ORISSA,73,Mn,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,38146.0
NOAMUNDI-JAMDA SECTOR,MALANGTOLI,ORISSA,73,Fe-Hematite,BHJ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,708.0
BONAI-NOAMUNDI-JAMDA BELT,BARAJAMDA,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.91
NOAMUNDI-JAMDA SECTOR,NUIA,ORISSA,73,Fe-Hematite,SHALE,BMQ,TUFF,META VOLCANICS,0,1,1,0,0,0,0,0,0,0,0,0,1,0,32.0
CHIRIA-MANOHARPUKUR SECTOR,CHIRIA,JHARKHAND,73,Fe-Hematite,BHJ,QTZT,QUARTZ SCHIST,PHYLLITE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2001.0
BONAI-BADAMPAHAR BELT,MANKAMACHA,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,177.0
BONAI-BADAMPAHAR BELT,BALIA PAHAR-KHEJURDAR/,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,47.55
BONAI-BADAMPAHAR BELT,BADAMGARH PAHAR,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,21.25
JAMDA-KOIRA BELT,KOIRA,ORISSA,73 G,Mn-Fe,SHALE,TUFFACEOUS SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,75000.0
BONAI-NOAMUNDI-JAMDA BELT,BARAIBURU,JHARKHAND,73,Fe-Hematite,BFQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,119.96
BONAI-NOAMUNDI-JAMDA BELT,KARAMPADA,ORISSA,73 G,Fe-Hematite,BHQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,493.5
NOAMUNDI-JAMDA SECTOR,SARKUNDA,ORISSA,73 G,Mn-Fe,METASEDIMENTS,METAVOLCANICS,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,142500.0
BONAI-BADAMPAHAR BELT,KALTA,ORISSA,73 G,Fe-Hematite-Mn,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,461.3
BONAI-KEONJHAR RANGE BELT,NAOGOWN,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8.08
BONAI-NOAMUNDI-JAMDA BELT,AJITBURU MINES,JHARKHAND,73,Fe-Hematite,BHQ,SHALE,SHALE INTERLAYERED WITH LAVA ,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,12.99
BONAI-BADAMPAHAR BELT,"FULIHARI,KURMITAR,SILJORA",ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,28.42
ADASH RAIMAL BELT,ADASH,ORISSA,73 C,Cu,KHONDALITE,CHARNOCKITE,AMPHIBOLITE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,930000.0
BAULA-NAUSAHI BELT,BAULA-NAUHASI BLOCK,ORISSA,73 K,Cr-PGE,ULTRAMAFICS,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.471
EAST COAST PROVINCE,ANAMINI PARBAT,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0
EASTERN GHAT BELT,DEVADA,ANDHRA PRADESH,65 N,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,96502.0
EASTERN GHAT BELT,NISHIKHAL,ORISSA,65 M,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,335100.0
EAST COAST PROVINCE,KATHAKHAL-MANJIMLI,ORISSA,65 M,Al-Bauxite,CAPPING ON CHARNOKITE/GNE1SSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0
EAST COAST PROVINCE,KISANWALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.28
EAST COAST PROVINCE,KODINGAMALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.4
EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,Al-Bauxite,CAPPING ON GRANULITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0
EAST COAST PROVINCE,SIJIMALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86.0
EAST COAST PROVINCE,SASBOHUMALI-PASANGMALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78.0
EAST COAST PROVINCE,KARLAPAT,ORISSA,65 I,Al-Bauxite,CAPPING ON KHONDALITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67.0
EASTERN GHAT BELT,GARBHAM,ANDHRA PRADESH,65 N,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49948.0
EAST COAST PROVINCE,ARAKU VALLEY AREA,ORISSA,65 J,Al-Bauxite,CAPPING ON KHODALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.5
EAST COAST PROVINCE,MALIPARBAT,ORISSA,65 J,Al-Bauxite,CAPPING ON GRANULITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8
EAST COAST PROVINCE,GANDHAMADAN PLATEAU,ORISSA,64 L,Al-Bauxite,CAPPING ON KHONDALITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,215.064
EAST COAST PROVINCE,BOPHLIMATTI,ORISSA,65 I,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195.73
EAST COAST PROVINCE,POTANGI AREA,ORISSA,65 J,Al-Bauxite,CAPPING ON GRANULITE/GNEISS,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7512.0
EAST COAST PROVINCE,PANCHPATMALI,ORISSA,"65 J, 65 N",Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,163.6
BASTAR-MALKANGIRI PEGMATITE,MUNDVAL,CHATTISGARH,65,Nb-Ta-Li-Sn,PEGMATITE,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38146.0
BASTAR-MALKANGIRI PEGMATITE,GARDA,CHATTISGARH,65 E,Be-Nb-Ta,PEGMATITE INTRUDING BENGPAL Gp.,GRANITE,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38146.0
BASTAR-MALKANGIFII PEGMATITE,KOYADONGRI,CHATTISGARH,65,Be-Nb-Ta,PEGMATITE INTRUDUING BASIC ROCKS,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38146.0
SINGBHUM BELT,BAHARAGORA,JHARKHAND,73 J,Cu,CHOLORITE SCHIST,Hb.SCHIST(META BASICS),-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.88
SINGBHUM BELT,MAINAJHARIA,JHARKHAND,73 J,Cu,BIOTITE,CHLORITESCHIST,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75
SINGBHUM BELT,MOSABONI,JHARKHAND,73 J,Cu,BIOTITE,CHLORITESCHIST,SODA GRANITE,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.57
SINGBHUM BELT,PATHARGORA,JHARKHAND,73 J,Cu,DHANJORI METAVOLCANICS,CHLO SCHIST,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.53
SINGBHUM BELT,SURDA,JHARKHAND,73 J,Cu,BIOTITE,CHLORITESCHIST,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.52
GARUMAHISANI PROVINCE (RAIRANGPUR BELT),BETJHARAN,ORISSA,73 J,Fe-Ti-V,GABRO,ANORTHOSITE,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.95
GARUMAHISANI PROVINCE (RAIRANGPUR BELT),BISAI,ORISSA,73 J,Fe-Ti-V,GABRO,ANORTHSITE,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2
GARUMAHISANI PROVINCE,KUNDERKOCHA(POROJHARNA MINE),ORISSA,73 J,Au,CHERT ,TALC,CHLORITE SCHIST,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4518.0
GARUMAHISANI PROVINCE (RAIRANGPUR BELT),KUMARDHUBI,ORISSA,73 J,Fe-Ti-V,GABRO,ANORTHOSITE,-,-,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.2
GARUMAHISANI PROVINCE,BHITARAMDA,ORISSA,73 J,Fe-Hematite,BHQ,PHYLLITE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.09
GARUMAHISANI PROVINCE,SULAIPET,ORISSA,73 J,Fe-Hematite,BHQ,PHYLLITE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.2
GARUMAHISANI PROVINCE,PURNAPANI,ORISSA,73 J,Fe-Hematite,BHQ,PHYLLITE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,38146.0
GARUMAHISANI PROVINCE,BHIYABASA,ORISSA,73 J,Fe-Hematite,BHQ,PHYLLITE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.06
GARUMAHISANI PROVINCE (RAIRANGPUR BELT),RAIRANGPUR,ORISSA,73 J,Fe-Ti-V,GABRO,ANORTHOSITE,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38146.0
SINGBHUM BELT,TAMAPAHAR,JHARKHAND,73 J,Cu,CHLORITE SCHIST,QTZ.SERICITESCHIST,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28.82
GANI KALVA BELT,GANI KALVA,ANDHRA PRADESH,57 L,Cu,SHALE,-,-,-,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.43
JONAGIRI SCHIST BELT,DONA TEMPLE BLOCK,ANDHRA PRADESH,57 E,Au,SILICIFIED METABASALT,-,-,-,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.7
JONNAGIRI SCHIST BELT,DONA EAST BLOCK,ANDHRA PRADESH,57 E,Au,SHEARED GRANODIORITE(D2 DEFORMATION),-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.92
HUTTI MASKI BELT,HIRA BUDINI,KARNATAKA,56 D,Au,CONTACT OF MAFIC FELSIC VOLCANICS,-,-,-,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.52
HUTTI MASKI BELT,CHINCHERGI,KARNATAKA,56 D,Au,BASIC ,ACID VOLCANICS,-,-,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.058
HUTTI MASKI BELT,UTI TEMPLE BLOCK,KARNATAKA,56 D,Au,QUARTZ VEIN IN METABASICS,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.89
BELLARY (SANDUR SCHIST BELT),OBULAPURAM,KARNATAKA,57 A,Fe-Hematite,SHALE,PHYLLITE,BHQ,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.28
HUTTI MASKI BELT,WANDALLI,KARNATAKA,57 A,Au,BASIC ,ACID VOLCANICS,-,-,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.796
HUTTI MASKI BELT,SANBAL,KARNATAKA,57 A,Au,CHLORITE,ACTINOLITESCHIST,SERICITE SCH.,-,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.89
SANDUR-UBBALAGUNDI RANGE,NARAYANPURA,KARNATAKA,57 A,Fe-Hematite,BHQ,METAPELITE,METAVOLCANICS,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3
KOLAR BELT,CHIGARGUNTA BLOCK,ANDHRA PRADESH,57 L,Au,BASIC ,ACID VOLCANICS,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.11
KOLAR BELT,MALLAPAKONDA,TAMILNADU,57 L,Au,BFQ,AMPHIBOLITE,CHAMPION GNEISS,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,773000.0
KOLAR BELT,KUDITHAINAPALLE,KARNATAKA,57 L,Au-Mo,QUARTZ REEF IN BASIC ,ACID VOLCANICS,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.48
KOLAR BELT,BISANATTAM MINE PROSPECT,KARNATAKA,57 L,Au,QUARTZ VEIN IN AMPHIBOLITE SCHIST,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0
OLAR BELT,SURAPALLE PROSPECT,KARNATAKA,57 L,Au,METAACID TUFF(CHAMPION GNEISS),-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.11
CHITRADURGA BELT,AJJANAHALLI,KARNATAKA,57 C,Au,METAVOLCANICS,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51
RAMAGIRI BELT,YEPPAMANA GOLD MINE,ANDHRA PRADESH,57,Au,PHYLLITE,CHLORITESCHIST(GREENSTONE),-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.037
SANDUR-KUMARSWAMI-DONIMALAI RANGE,KUMARSWAMI,KARNATAKA,"57 A, 57 B",Fe-Hematite,BHQ,METAPELITE,METAVOLCANICS,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,181.0
RAMAGIRI BELT,KOTAPALLE BLOCK,ANDHRA PRADESH,57,Au,METASEDIMENTS ,METAVOLCANICS,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,38146.0
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,BHADRAMPALLE,ANDHRA PRADESH,57,Au,METABASITE,META,ES1TE,B.H.CHERT,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.06
NELLORE BELT,VENUMBAKA-RASANUR,ANDHRA PRADESH,57 N,Fe-Hematite,PHYLLITE,SCHIST,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4.18
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,PENUKONDA PROSPECT,ANDHRA PRADESH,57,Au,METABASALT,BIF,SERICITE SCHIST,-,0,0,0,1,0,0,0,0,1,0,0,0,0,0,38146.0
RAMAGIRI BELT,YERAPPA-GENTALLAPPA BLOCK,ANDHRA PRADESH,57,Au,METAVOLCANICS,METASEDIMENTS,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.5
PULIVENDLA BELT,MIDIPENTA,ANDHRA PRADESH,57 J,Cu-Pb,,,-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,38146.0
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,KOTTAPALLE PROSPECT,ANDHRA PRADESH,57,Au,METABASITE,BIF,ACID TUFF,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.115
PULIVENDLA BELT,VENKATAPURAM,ANDHRA PRADESH,57 J,Cu-Pb-Ba,SHEAR FRACTURE,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38146.0
VARIKUNTA-ZANGAMARAJUPALLE,GOLLAPALLE,ANDHRA PRADESH,73 J,Pb-Zn,DOLOMITE,SLATES,CHERTS,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.42
RAMAGIRI-PENAKACHERLA-HUNGUD BELT,RAMAPURAM,ANDHRA PRADESH,57,Au,METABASALT,CHLORITE,ACTINOLITE SCHIST,-,0,0,0,0,0,0,0,0,1,0,0,1,0,0,74867.0
EASTERN GHAT BELT,DEVADA,ANDHRA PRADESH,65 N,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,96502.0
EAST COAST PROVINCE,KODINGAMALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.4
EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,Al-Bauxite,CAPPING ON GRANULITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.0
EAST COAST PROVINCE,SASBOHUMALI-PASANGMALI,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78.0
EAST COAST PROVINCE,KARLAPAT,ORISSA,65 I,Al-Bauxite,CAPPING ON KHONDALITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67.0
EASTERN GHAT BELT,GARBHAM,ANDHRA PRADESH,65 N,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49948.0
EAST COAST PROVINCE,ARAKU VALLEY AREA,ORISSA,65 J,Al-Bauxite,CAPPING ON KHODALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41.5
EAST COAST PROVINCE,MALIPARBAT,ORISSA,65 J,Al-Bauxite,CAPPING ON GRANULITE/GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8
EAST COAST PROVINCE,BOPHLIMATTI,ORISSA,65 I,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195.73
EAST COAST PROVINCE,POTANGI AREA,ORISSA,65 J,Al-Bauxite,CAPPING ON GRANULITE/GNEISS,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7512.0
EAST COAST PROVINCE,PANCHPATMALI,ORISSA,"65 J, 65 N",Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,163.6
BASTAR-MALKANGIRI PEGMATITE,MUNDVAL,CHATTISGARH,65,Nb-Ta-Li-Sn,PEGMATITE,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38146.0
EAST COAST PROVINCE,GUDEM AREA,ORISSA,65 J,Al-Bauxite,CAPPINGS ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,437.0
BASTAR-MALKANGIRI PEGMATITE,GARDA,CHATTISGARH,65 E,Be-Nb-Ta,PEGMATITE INTRUDING BENGPAL Gp.,GRANITE,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38146.0
BASTAR-MALKANGIFII PEGMATITE,KOYADONGRI,CHATTISGARH,65,Be-Nb-Ta,PEGMATITE INTRUDUING BASIC ROCKS,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38146.0
ROWGHAT BELT,ROWGHAT,CHATTISGARH,65 E,Fe-Hematite,BHQ,METAPELITE,METAVOLCANICS,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,859.45
BAILADILA BELT,BAILADILA,CHATTISGARH,65,Fe-Hematite,BHQ,METAPELITE,METAVOLCANICS,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,739.58
EAST COAST PROVINCE,DUMKONDA,ANDHRA PRADESH,65 G,Al-Bauxite,CAPPING ON SILLIMANITE GNEISS,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,256000.0
EAST COAST PROVINCE,GURLIDU GROUP,ANDHRA PRADESH,65 G,Al-Bauxite,CAPPING ON SILLIMANITE GNEISS,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42.18
MAILARAM BELT,MAILARAM,ANDHRA PRADESH,65 C,Cu,QUARTZ REEF AT THE CONTACT OF CHL.SCHIST,-,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.812
AGNIGUNDLA BELT,DHUKONDA,ANDHRA PRADESH,56 P,Cu-Pb,OUARTZITE,Pb SUBORDINATE IN DOLOMITE,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.15
AGNIGUNDLA BELT,NALLAKONDA,ANDHRA PRADESH,56 P,Cu,CALCAREOUS QUARTZITE,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.35
AGNIGUNDLA BELT,BANDALAMOTTU,ANDHRA PRADESH,56 P,Cu-Pb,DOLOMITE ,DOLOMITIC LIMESTONE,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.481
PALAMOU-RANCHI PROVINCE,CHANDIPAT AREA,JHARKHAND,73 A,Al-Bauxite,LATERITE CAPPING ON GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101600.0
RANCHI PLATEAU PROVINCE,BARKADIH-GHARGHUTA NADI,CHATTISGARH,73 A,Al-Bauxite,LATERITE CAPPING ON GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
RANCHI PLATEAU PROVINCE,LOKIPAT,CHATTISGARH,73 A,Al-Bauxite,LATERITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227.0
PALAMOU-RANCHI PROVINCE,TAMOLGARH,CHATTISGARH,73 A,Al-Bauxite,CAPPING ON GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50800.0
PALAMOU-RANCHI PROVINCE,KUKUD,CHATTISGARH,73 A,Al-Bauxite,CAPPING ON GNEISSES,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.048
SARGIPALLI BELT,SARGIPALLI,ORISSA,64 N,Pb,GARNETIFEROUS MICA SCHIST,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.63
SARGUJA BELT,DAUKI-DUBA NALA,CHATTISGARH,64 M,U,QUARTZ VEIN IN SHEAR ZONE,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38146.0
RANCH PLATEAU PROVINCE,BIRHNI-GARKHASWAR-AGARDIH,CHATTISGARH,64 M,Al-Bauxite,CAPPING ON LATERITE OVER DECCAN TRAP,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,622.958
BIHAR MICA BELT,KALAPAHARI,JHARKHAND,72 L,Be-Nb-Ta,PEGMATITE,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.603
BIHAR MICA BELT,DUMERDIHA,JHARKHAND,72 H,Be-Nb-Ta,PEGMATITE,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.49
RORO-JOJOHATU BELT,"RORO,JOJOHATU",JHARKHAND,73,Cr,ULTRAMAFIC SUIT,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123283.0
BONAI-NOAMUNDI-JAMDA BELT,ITAR-BALIJODI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.0
BONAI-NOAMUNDI-JAMDA BELT,MERALGORA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE,BHQ,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.5
BONAI-NOAMUNDI-JAMDA BELT,KUMITRA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.5
BONAI-NOAMUNDI-JAMDA BELT,THAKURANI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2.66
