OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
381,SAUSAR BELT,UKWA,MADHYA PRADESH,64 C,Mn,12.5 M.TONNES,38.51%-43.12% Mn,SCHIST AND PHYLLITE,CONCORDANT-TABULAR,LOHANGI Fm.
313,PANNA Di (Diamond) BELT,PANNA - MAJHGAWAN - HINOTA,MADHYA PRADESH,63 D,Di (Diamond),510920 CARATS,,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,VINDHYAN Sgp.
263,MAHAKOSHAL BELT,IMALIYA,MADHYA PRADESH,M A,"Au(Ag,Cu,Pb,Zn)",0.20 M.TONNES,"2 g/t Au,100g/t Ag,1.2%Cu",SHEAR ZONE IN DOLOMITE,SHEAR CONTROLLED,SLEEMABAD Fm.
382,SAUSAR BELT,LAUGHAR-KAMHATOLA,MADHYA PRADESH,64 C,Mn,"437,000 TONNES",50.36% Mn,SCHISTS,CONCORDANT,LOHANGI Fm..
121,BUNDELKHAND GRANITOID PROVINCE,BARI-BAHARI,MADHYA PRADESH,63 D,Mo,OCCURRENCE,,GRANITOID,PORPHYRITIC,BUNDELKHAND GRANITE
374,SAUSAR BELT,DHANSUA-LAUGHAR-JAGANTOLI,MADHYA PRADESH,"64 B, 64 C",Mn,1.6 M.TONNES (TOTAL RESERVE),35%-46% Mn,"SCHIST,PHYLLITE",CONCORDANT,LOHANGI Fm.
73,BALAGHAT BELT,BALAGHAT,CHATTISGARH,64 C,Mn,6.21 M.TONNES,+48% Mn,"PHYLLITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..
377,SAUSAR BELT,NETRA,MAHARASTRA,550,Mn,1.95 M.TONNES,+40% Mn(Av.),SCHIST,CONCORDANT,LOHANGI Fm.
379,SAUSAR BELT,PAWNIA,MADHYA PRADESH,550,Mn,NOT AVAILABLE,,GONDITE-QUARTZITE,CONCORDANT,LOHANGI Fm..
378,SAUSAR BELT,PANCHALA,MAHARASTRA,550,Mn,"5,640 TONNES",42%-48% Mn,GONDITE,CONCORDANT,SAUSAR Gp.
380,SAUSAR BELT,TIRODI,MADHYA PRADESH,550,Mn,"799,700 TONNES",+48% Mn,"GONDITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..
373,SAUSAR BELT,BHANDARBOLI,MAHARASTRA,550,Mn,"383,968 TONNES",30%-35% Mn,GONDITE,CONCORDANT,SAUSAR Gp.
376,SAUSAR BELT,JUNEWANI,MAHARASTRA,550,Mn,"458,250 TONNES",44%-48% Mn,CALC GNEISS AND SCHIST,CONCORDANT,SAUSAR Gp.
18,KHANKHERA BELT,KHANKHERA,RAJASTHAN,54,Cu,OCCURRENCE,0.5%-2.48% Cu,QUARTZITE WITH TUFF,STRATABOUND-DISSEMINATION/STRINGERS,ALWAR Gp.
