OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
469,,HINGORIA,GUJARAT,46 G,Fl (Fluorite),OCCURRENCE,,BASAL FLOWS OF DECCAN TRAP,"VEIN, FRACTURE FILLING",DECCAN TRAP
452,-,AMBADONGAR,GUJARAT,46 K,REE(FI-Ba),OCCURRENCE,,"CARBONATITE,SYENITE,TIGUITE,NEPHELINITE",CARBONATITE TYPE DEPOSIT,CARBONATITE COMPLEX
201,GODAVARI RIFT BELT,PIMPERKUNTA,ANDHRA PRADESH,56 I,Mn (Fe),"10,160 TONNES","42%-47%Mn,0.04%-0.08% P","LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.
200,GODAVARI RIFT BELT,PIMPERGUDA-PIMPERKUNTA,ANDHRA PRADESH,561,Mn (Fe),3000 TONNES,42%-48% Fe,"LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.
184,GANI KALVA BELT,GANI KALVA,ANDHRA PRADESH,571,Cu,0.43M.TONNES,0.0137,SHALE,STRATABOUND-DISCORDANT VEINS,TADPADRI SHALE(CUDDAPAH)
221,,MACHANUR,ANDHRA PRADESH,56 H,Cu,1.91 MT,0.0095,QUARTZ REEF TRAVERSING PINK GRANITE,DISCODANT-HYDROTHERMAL,GRANITE
474,,KALLUR,KARNATAKA,56 H,Cu,2.48M.TONNES,0.0085,QTZ.-CALCITE VEIN IN PORPHYRITIC GRANITE,DISCORDANT-HYDROTHERMAL,PENINSULAR GNEISSES
260,MADDUR-KOTAKONDA BELT,MADDUR-KOTAKONDA,ANDHRA PRADESH,56 H,Di (Diamond),PROSPECT,,KIMBERLITE,,PENINSULAR GNEISSIC COMPLEX
212,HUTTI MASKI BELT,HIRA BUDINI,KARNATAKA,56 D,Au,0.52 M.TONNES(PROBBABLE),11.96 - 16.16 g/t,CONTACT OF MAFIC FELSIC VOLCANICS,DISCORDANT-SHEAR CONTROL,HUTTI Gp.
211,HUTTI MASKI BELT,CHINCHERGI,KARNATAKA,56 D,Au,0.058 M.TONNES,4.71 - 11 .46 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
218,HUTTI MASKI BELT,UTI TEMPLE BLOCK,KARNATAKA,56 D,Au,"210,60,80M STRIKE LENGTH",1.0-6.87 g/t,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE
1,HUTTI MASKI BELT,WANDALLI,KARNATAKA,560,Au,0.796 MT,5.32 & 3.85 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
215,HUTTI MASKI BELT,SANBAL,KARNATAKA,57 A,Au,935 m STRIKE LENGTH,23-305g/t FOR WIDTH 0.3-0.75m,"CHLORITE-ACTINOLITE SCHIST,SERICITE SCH.",REMOBILISED IN QUARTZ VEIN,KOLAR Gp.
214,HUTTI MASKI BELT,KADONI,KARNATAKA,56 D,Au,0.064 M.TONNES FOR WIDTH 1.20m,1.2 - 8.7 g/t,METABASIC AND QUARTZ-CARBONATE VEIN,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
213,HUTTI MASKI BELT,HUTTI MINE BLOCK,KARNATAKA,56,Au(W),"18,549 MT",4.45 - 9.61 g/t,HORNBLENDE-CHLORITE-BIOTITE SCHIST,STRATABOUND-CONCORDANT,KOLAR Gp.
216,HUTTI MASKI BELT,TUPPADHUR,KARNATAKA,56 D,Au,0.089 M.TONNES,3.95 g/t,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE
217,HUTTI MASKI BELT,UTI,KARNATAKA,56 D,Au,4.5 MT,2.5 g/t,QUARTZ VEIN IN METAVOLCANICS,"STRINGERS,VEINLETS OF Qtz",EASTERN GREENSTONE
246,,TINTHINI,KARNATAKA,56 D,Cu,1.84 MT,0.006,PORPHYRITIC GRANITE INTRUDED BY GABRO,SHEAR-BRECCIA CONTROLLED,CLOSEPET GRANITE EQV
222,,MALWA PLATEAU,MAHARASTRA,47 H,Al (Bauxite),2.3 M.TONNES,50%-51% Al2O3,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP
465,,DHANGARWADI,MAHARASTRA,47 H,Al (Bauxite),12.08 M.TONNES (PROVED),,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP
247,,UDGIRI,MAHARASTRA,47 G,Al (Bauxite),7.7 M.TONNES,57.77% AI2O3,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP
234,,RADHANAGIRI,MAHARASTRA,47 H,Al (Bauxite),7.345 M.TONNES,52.9% Al203,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP
463,,DANDGIRI-KONDIVALI,MAHARASTRA,47,Al (Bauxite),"852,800 TONNES(PROVED)",,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP
381,SAUSAR BELT,UKWA,MADHYA PRADESH,64 C,Mn,12.5 M.TONNES,38.51%-43.12% Mn,SCHIST AND PHYLLITE,CONCORDANT-TABULAR,LOHANGI Fm.
459,-,CHANDIDONGRI,CHATTISGARH,64 C,Fl (Fluorite),,,"GRANITE,PEGMATITE VEIN",SHEAR CONTROLLED,DONGARGARH GRANITE
382,SAUSAR BELT,LAUGHAR-KAMHATOLA,MADHYA PRADESH,64 C,Mn,"437,000 TONNES",50.36% Mn,SCHISTS,CONCORDANT,LOHANGI Fm..
