OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
258,KUTCH BELT,LAKEND,GUJARAT,41 E,Al (Bauxite),1.09 M.TONNES,48%-50.6% AI2O3,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,-
472,,KAHILA,RAJASTHAN,46 E,Fl (Fluorite),OCCURRENCE,,APLITE ANDPEGMATITE VEIN,VEIN TYPE,BANDED GNEISSES
224,,NAWAGAON,RAJASTHAN,46 E,Fl (Fluorite),OCCURRENCE,,PEGMATITE VEIN,VEIN TYPE,PENINSULAR GNEISSIC COMPLEX
306,PADAR-KI-PAL BELT,BICHIWARA,RAJASTHAN,46 E,Cu,OCCURRENCE,-,"DOLOMITE,QUARTZITE,CHLORITE SCHIST",STRING ERS/DISSEM INATION-STRATABOUND,JHAROL Gp.
4,JHAKRA PARSOLA BELT,JHAKRA,RAJASTHAN,46 I,Cu,OCCURRENCE,0.2%-0.48%Cu,"SCHIST,QURTZ-EPIDOTE VEINS,AMPHIBOLITE",DISCORDANT WITHIN SHEAR,DEBARI Gp.
66,ARAVALLI BELT,LIMBO',RAJASTHAN,461,Nb-Ta(Columbite-Tantalite),NOT AVAILABLE,"60.07%Nb205,1.29%-2.7%Ta205",PEGMATITE IN IDAR GRANITE PLUTON,,IDAR GRANITE
3,JHAKRA PARSOLA BELT,BHUKIA,RAJASTHAN,461,Au-Cu,7.09 MILLION TONNES,2.96g/t OF Au,"DOLOMITE,AMPHIBOLITE,CALC-SILICATE",DISCORDANT-SHEAR CONTROL,DELWARA Gp.
305,PADAR-KI-PAL BELT,AMJHARA,RAJASTHAN,46 'E,Cu(Ni),OCCURRENCE,"0.5%-2.16%Cu,0.1%-06%Ni","TALC CHLORITE SCHIST,QUARTZITE",STRING ERS/DISSEM INATION-STRATABOUND,JHAROL Gp.
307,PADAR-KI-PAL BELT,PADAR-KI-PAL,RAJASTHAN,46 E,Cu,0.7M.TONNES(IND.);0.34(PROBAB.),1.14% Cu;1.12% Cu,"QUARTZITE,TALC CHLORITE SCHIST",STRINGERSIDISSEMINATION-STRATABOUND,JHAROL Gp.
6,JHAKRA-PARSOLA BELT,JAGPURA,RAJASTHAN,461,Cu,OCCURRENCE,-,"DOLOMITE,MARBLE,MICA SCHIST",DISCORDANT-SHEAR CONTROL,DEBARI Gp.
