OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
308,PALAMOU-RANCHI PROVINCE,CHANDIPAT AREA,JHARKHAND,73 A,Al (Bauxite),"101,600 TONNES",40% Al203,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX
345,RANCHI PLATEAU PROVINCE,BARKADIH-GHARGHUTA NADI,CHATTISGARH,73 A,Al (Bauxite),2.5 M.TONNES,58.6% Al203,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX
98,BIHAR MICA BELT,KHAIRIDIH,JHARKHAND,72 D,Nb - Ta (U),"PRODUCED 2.5 T OF Nb,Ta","40.8%Ta205,36.5%Nb205,0.18%U308",PEGMATITE IN SCHIST,LENSOID BODY,
349,RANCHI PLATEAU PROVINCE,LOKIPAT,CHATTISGARH,73 A,Al (Bauxite),227 M.TONNES,48% Al203,LATERITE,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX
312,PALAMOU-RANCHI PROVINCE,TAMOLGARH,CHATTISGARH,73 A,Al (Bauxite),"50,800 TONNES",63.6% Al203,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX
310,PALAMOU-RANCHI PROVINCE,KUKUD,CHATTISGARH,73 A,Al (Bauxite),3.048 M.TONNES,58.38%-59.21 % Al203,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,LATERITE ON CHOTANAGPUR GNEISSIC COMPLEX
144,CHOTANAGPUR GNEISSIC COMPLEX PROVINCE,JAMUCHA,JHARKHAND,73 B,Be,OLD MINE,12.87 - 13.20% BeO,PEGMATITE,LENSOID,100/GRANITE CONTACT
368,SARGIPALLI BELT,SARGIPALLI,ORISSA,64 N,Pb,2.63 M.TONNES,5.7% Pb,GARNETIFEROUS MICA SCHIST,STRATABOUND-REMOBILISED,GANGpUR Gp.
369,SARGUJA BELT,DAUKI-DUBA NALA,CHATTISGARH,64 M,URANANITE-COFFINITE (U),OCCURRENCE,-,QUARTZ VEIN IN SHEAR ZONE,SHEAR CONTROLED,GNEISSIC COMPLEX
347,RANCH PLATEAU PROVINCE,BIRHNI-GARKHASWAR-AGARDIH,CHATTISGARH,64 M,Al (Bauxite),622.958 TONNES,50% Al203,CAPPING ON LATERITE OVER DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP ON CHOTANAGPUR GNEISSIC COMPLEX
78,BARAGANDA- PARASIA BELT,PARASIA,JHARKHAND,72 H,Cu,ABANDONED MINE,,SCHISTOSE ENCLAVES IN GNEISSES,DISCORDANT,CHOTANAGPUR GNEISSES
97,BIHAR MICA BELT,KALAPAHARI,JHARKHAND,721-1,Nb-Ta-Be,603Kg COLUMBITE-TANTALITE,"68% Nb205,8.9% Ta205",PEGMATITE,LENSOID BODY,BIHAR MICA BELT
101,BIHAR MICA BELT,ULIRDAH,JHARKHAND,72 H,Nb-Ta-Be,ABANDONED MINE,"29.5%Nb205,48.0%Ta205",PEGMATITE,LENSOID BODY,BIHAR MICA BELT
96,BIHAR MICA BELT,DUMERDIHA,JHARKHAND,72 H,Nb-Ta-Be,490 Kg OF ORE,22%Ta205,PEGMATITE,LENSOID BODY,BIHAR MICA BELT
99,BIHAR MICA BELT,MANBHAGWA,BIHAR,72 H,Nb-Ta-Be,ABANDONED MINE,"47%Ta205,24.5%Nb205",PEGMATITE,LENSOID BODY,
