OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
122,CHELIMA-ZANGAMARAJUPALLE BELT,CHELIMA,ANDHRA PRADESH,57 I,Di (Diamond),PROSPECT,,KIMBERLITE DIATREME,,KUMBUM FORMATION
460,,CHELIMA,ANDHRA PRADESH,571,Pb-Zn,OCCURRENCE,,BRECCIATED DOLOMITE,STRATABOUND-CONCORDANT,BAIRANKONDA QUARTZITE (CUMBUM FM.)
184,GANI KALVA BELT,GANI KALVA,ANDHRA PRADESH,571,Cu,0.43M.TONNES,0.0137,SHALE,STRATABOUND-DISCORDANT VEINS,TADPADRI SHALE(CUDDAPAH)
221,,MACHANUR,ANDHRA PRADESH,56 H,Cu,1.91 MT,0.0095,QUARTZ REEF TRAVERSING PINK GRANITE,DISCODANT-HYDROTHERMAL,GRANITE
7,JONAGIRI SCHIST BELT,DONA TEMPLE BLOCK,ANDHRA PRADESH,57 E,Au,0.7 M.TONNES,4.65 g/t,SILICIFIED METABASALT,Au-QUARTZ VEIN IN SHEAR ZONE,DONA Fm.(JONAGIRI Gp)
8,JONNAGIRI SCHIST BELT,DONA EAST BLOCK,ANDHRA PRADESH,57 E,Au,7.92 MT,2.07 g/t,SHEARED GRANODIORITE(D2 DEFORMATION),SHEAR CONTROLLED,JONNAGIRI Gp.
474,,KALLUR,KARNATAKA,56 H,Cu,2.48M.TONNES,0.0085,QTZ.-CALCITE VEIN IN PORPHYRITIC GRANITE,DISCORDANT-HYDROTHERMAL,PENINSULAR GNEISSES
260,MADDUR-KOTAKONDA BELT,MADDUR-KOTAKONDA,ANDHRA PRADESH,56 H,Di (Diamond),PROSPECT,,KIMBERLITE,,PENINSULAR GNEISSIC COMPLEX
212,HUTTI MASKI BELT,HIRA BUDINI,KARNATAKA,56 D,Au,0.52 M.TONNES(PROBBABLE),11.96 - 16.16 g/t,CONTACT OF MAFIC FELSIC VOLCANICS,DISCORDANT-SHEAR CONTROL,HUTTI Gp.
211,HUTTI MASKI BELT,CHINCHERGI,KARNATAKA,56 D,Au,0.058 M.TONNES,4.71 - 11 .46 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
