OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
184,GANI KALVA BELT,GANI KALVA,ANDHRA PRADESH,571,Cu,0.43M.TONNES,0.0137,SHALE,STRATABOUND-DISCORDANT VEINS,TADPADRI SHALE(CUDDAPAH)
221,,MACHANUR,ANDHRA PRADESH,56 H,Cu,1.91 MT,0.0095,QUARTZ REEF TRAVERSING PINK GRANITE,DISCODANT-HYDROTHERMAL,GRANITE
7,JONAGIRI SCHIST BELT,DONA TEMPLE BLOCK,ANDHRA PRADESH,57 E,Au,0.7 M.TONNES,4.65 g/t,SILICIFIED METABASALT,Au-QUARTZ VEIN IN SHEAR ZONE,DONA Fm.(JONAGIRI Gp)
8,JONNAGIRI SCHIST BELT,DONA EAST BLOCK,ANDHRA PRADESH,57 E,Au,7.92 MT,2.07 g/t,SHEARED GRANODIORITE(D2 DEFORMATION),SHEAR CONTROLLED,JONNAGIRI Gp.
474,,KALLUR,KARNATAKA,56 H,Cu,2.48M.TONNES,0.0085,QTZ.-CALCITE VEIN IN PORPHYRITIC GRANITE,DISCORDANT-HYDROTHERMAL,PENINSULAR GNEISSES
260,MADDUR-KOTAKONDA BELT,MADDUR-KOTAKONDA,ANDHRA PRADESH,56 H,Di (Diamond),PROSPECT,,KIMBERLITE,,PENINSULAR GNEISSIC COMPLEX
212,HUTTI MASKI BELT,HIRA BUDINI,KARNATAKA,56 D,Au,0.52 M.TONNES(PROBBABLE),11.96 - 16.16 g/t,CONTACT OF MAFIC FELSIC VOLCANICS,DISCORDANT-SHEAR CONTROL,HUTTI Gp.
211,HUTTI MASKI BELT,CHINCHERGI,KARNATAKA,56 D,Au,0.058 M.TONNES,4.71 - 11 .46 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
218,HUTTI MASKI BELT,UTI TEMPLE BLOCK,KARNATAKA,56 D,Au,"210,60,80M STRIKE LENGTH",1.0-6.87 g/t,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE
93,BELLARY (SANDUR SCHIST BELT),OBULAPURAM,KARNATAKA,57 A,Fe(Hematite),2.28 M.TONNES,"65%Fe,2.5%Si02,2.22%Al203","SHALE,PHYLLITE,BHQ",BEDDED,EASTERN GREENSTONE
1,HUTTI MASKI BELT,WANDALLI,KARNATAKA,560,Au,0.796 MT,5.32 & 3.85 g/t,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
215,HUTTI MASKI BELT,SANBAL,KARNATAKA,57 A,Au,935 m STRIKE LENGTH,23-305g/t FOR WIDTH 0.3-0.75m,"CHLORITE-ACTINOLITE SCHIST,SERICITE SCH.",REMOBILISED IN QUARTZ VEIN,KOLAR Gp.
367,SANDUR-UBBALAGUNDI RANGE,NARAYANPURA,KARNATAKA,57 A,Fe(Hematite),5.3 M.TONNES,64% Fe,"BHQ,METAPELITE,METAVOLCANICS",BEDDED,DHARWAR(SANDUR SCH.)
214,HUTTI MASKI BELT,KADONI,KARNATAKA,56 D,Au,0.064 M.TONNES FOR WIDTH 1.20m,1.2 - 8.7 g/t,METABASIC AND QUARTZ-CARBONATE VEIN,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE
213,HUTTI MASKI BELT,HUTTI MINE BLOCK,KARNATAKA,56,Au(W),"18,549 MT",4.45 - 9.61 g/t,HORNBLENDE-CHLORITE-BIOTITE SCHIST,STRATABOUND-CONCORDANT,KOLAR Gp.
216,HUTTI MASKI BELT,TUPPADHUR,KARNATAKA,56 D,Au,0.089 M.TONNES,3.95 g/t,QUARTZ VEIN IN METABASICS,STRATABOUND-REMOBILISED,EASTERN GREENSTONE
366,SANDUR-KUMARSWAMI-DONIMALAI RANGE,NAVALUTTI,KARNATAKA,57 A,Fe(Hematite),1.38 M.TONNES,65%Fe,"BHQ,METAPELITE,METAVOLCANICS(SANDUR SCH)",BEDDED-VOLCANOSEDIMENTARY,E.GREENSTONE BELT
361,SANDUR BELT-BTV RANGE,VITTALPURAM,KARNATAKA,57 A,Fe(Hematite),0.06 M.TONNES,62% Fe,"BHQ,METAVLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE
278,NEB(SANDUR SCHIST BELT),SANDUR,KARNATAKA,57 A,Fe(Hematite),2.49 M.TONNES,64-66%Fe,"METASEDIMENT,METAVOLCAN1CS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
275,NEB RANGE (SANDUR SCHIST BELT),INGILIGI,KARNATAKA,57 A,Fe(Hematite),0.821 M.TONNES,62-67%Fe,"PHYLLITE,SCHIST,METAVOLCAN1CS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
279,NEB(SANDUR SCHIST BELT),SANKALAPURAM,KARNATAKA,57 A,Fe(Hematite),5.648 M.TONNES,62-68%Fe,"METASEDIMENT,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
364,SANDUR SCHIST BELT-NEB RANGE,KALLAHALLI (3 MINES),KARNATAKA,57 A,Fe(Hematite),21.96 M.TONNES,64-67%Fe,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE
217,HUTTI MASKI BELT,UTI,KARNATAKA,56 D,Au,4.5 MT,2.5 g/t,QUARTZ VEIN IN METAVOLCANICS,"STRINGERS,VEINLETS OF Qtz",EASTERN GREENSTONE
246,,TINTHINI,KARNATAKA,56 D,Cu,1.84 MT,0.006,PORPHYRITIC GRANITE INTRUDED BY GABRO,SHEAR-BRECCIA CONTROLLED,CLOSEPET GRANITE EQV
272,NEB (SANDUR SCHIST BELT),KARINAGUR,KARNATAKA,57 A,Fe(Hematite),7.915 M.TONNES,"68.55%Fe,0.5%Si02",METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
274,NEB (SANDUR SCHIST BELT),PAPINAYAKANAHALLI,KARNATAKA,57 A,Fe(Hematite),15.02 M.TONNES,62-65%Fe,"METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
340,RAMANDUR RANGE(SHIMOGA SCHIST) BELT,RAMANDURG RANGE,KARNATAKA,57 A,Fe (Hematite),253.39 M.TONNES FOR THE RANGE,60-65%Fe,METASEDIMENTS-METAVOLCANICS,STRATABOUND-CONCORDANT,EASTERN GREENSTONE
359,SANDUR BELT-BELLARY SECTOR,"HALKUNDI,HONNAHALI",KARNATAKA,57 A,Fe(Hematite),2.81 M.TONNES,62-65%Fe,"BHQ,METAVOLCANICS,METAARGILLITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE
276,NEB RANGE(SANDUR BELT),JAISINGpUR (9 MINES),KARNATAKA,57 A,Fe(Hematite),2.66 M.TONNES,64-66%Fe,METASEDIMENT AND METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
362,SANDUR BELT-KUMARSWAMI-DONIMAL,,KARNATAKA,57 A,Fe(Hematite),152.34 M.TONNES,"64.9%Fe,","BHQ,METAPELITE,METAVOLCANICS",,DHARWAR(SANDUR SCH.)
273,NEB (SANDUR SCHIST BELT),MADERAHALLI,KARNATAKA,57 A,Fe(Hematite),8.27 M.TONNES,"65.51%Fe,1.51%5102","METASEDIMENTS,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,EASTERN GREENSTONE
360,SANDUR BELT-BTV RANGE,"BELEGAL,HARAGONDONA,TUM.TONNES1",KARNATAKA,57 A,Fe(Hematite),6.22 M.TONNES(TOTAL),"63-65%Fe,1.11-3.77%Si02","BHQ,METAVOLCANICS,METAPELITE",VOLCANOSEDIMENTARY-BEDDED,EASTERN GREENSTONE
183,GADAG SCHIST BELT,SANGLI MINE,KARNATAKA,48 M,Au,1.69 M.TONNES,"3.35 g/t,WIDTH 1.7-3.5 m","METASEDIMENTS,METAVOLCANICS",STRATABOUND-SHEAR CONTROL,CHITRADURGA(DHARWAR).
181,GADAG SCHIST BELT,KABULIYATKATTI BLOCK,KARNATAKA,48M,Au,527 Kg Au RECOVERED,-,"GREYWACKE,PHYLLITE",QUARTZ VEIN ALONG SHEAR,CHITRADURGA(DHARWAR).
182,GADAG SCHIST BELT,MYSORE MINE BLOCK,KARNATAKA,48 M,Au,0.213 M.TONNES,3.00 g/t,"META ANDESITE,PHYLLITE,BMQ",VEINS/STRINGERS-STRATABOUND,CHITRADURGA(DHARWAR).
179,GADAG SCHIST BELT,ATTIKATTI BLOCK,KARNATAKA,48 M,Au,OCCURRENCE,-,"PHYLLITE,GRAPHITE SCHIST",QUARTZ VEIN ALONG SHEAR,CHITRADURGA(DHAR WAR).
180,GADAG SCHIST BELT,HOSUR-YELISHIRUR,KARNATAKA,48 M,Au,1.67 M.TONNES (ABANDONED MINE),1.6 g/t,"METAVOLCANICS,PHYLLITE,BMQ",STRATABOUND-CONCORDANT,CH1TRADURGA(DHARWAR).
386,SHIMOGA BELT,DONI,KARNATAKA,48 I,Fe(Hematite),4.60 M.TONNES,,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR Sgp.
391,SHIMOGA-GOA BELT,HATTIKAMBA,KARNATAKA,48 I,Mn-Fe,15077 TONNES TOTAL METAL,40%-50% Mn,LATERITE ON VOLCANOSEDIMENTARY SEQUENCE,SUPERGENE ENRICHMENT,CHITRADURGA BELT Gp.
392,SHIMOGA-GOA BELT,TERALI-BISGOD,GOA,48 I,Mn-Fe,"32,125 TONNES",25%-50% Mn,LATERITE ON VOLCANOSEDIMETS OF GREENSTON,SUPERGENE ENRICHMENT,CHITRADURGA BELT BELT
390,SHIMOGA-GOA BELT,ANMOD,GOA,48 I,Mn-Fe,"52,908 TONNES",28%-32% Mn,LATERITE ON VOLCANICS OF GREENSTONE,VOLCANOGEN IC-ENRICHED,CHITRADURGA BELT Gp.
197,GOA Fe - Mn PROVINCE,CODGUI,GOA,48 I,Mn (Fe),"40,000 TONNES",30%-35% Mn-Fe,LATERITE,SUPERGENE ENRICHMENT,DHARWAR Sgp.
198,GOA Fe - Mn PROVINCE,COLAMBA,GOA,481,Mn (Fe),"215,398 TONNES",25%-45% Mn,MANGANIFEROUS PHYLLITE,LATERITISED,DHARWAR Sgp.
15,KAPPALGUDDA (SHIMOGA SCHIST) BELT,KAPPALGUDDA,KARNATAKA,481,Fe(Magnetite),5.80 M.TONNES,63-65%,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR(SHIMOGA SCH)
12,KANJAMALLAI-ATTUR BELT,ATTUR,TAMILNADU,581,Fe(Magnetite),11.9 M.TONNES,35%-40% Fe,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE
203,GRANULITE BELT OF KERALA,AMBALAVYAL,KERALA,58 A,Ma,-,-,GRANITOID IN HIGH GRADE GNEISS,STRATABOUND DISCORDANT,GRANULITE TERRAIN
249,,YARKUD,TAMILNADU,581,Al (Bauxite),3.005 M.TONNES,42% Al2O3,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE
227,,PAKKANADU,TAMILNADU,58 E,REE,OCCURRENCE.,,"SOVITE,BEFORS1TE,BENSTONITE",CARBONATITE TYPE DEPOSIT,GRANULITE DOMAIN
13,KANJAMALLAI-ATTUR BELT,CHITTORI-TAINANDAMALAI,TAMILNADU,58 I,Fe(Magnetite),37.7 M.TONNES,35-40%Fe,BMQ,BEDDED-SEDIMENTARY ( TAMILNADU TYPE),GRANULITE
41,KOLAR BELT,MAHARAJAGADAI,TAMILNADU,57 L,Au,NA,0.1 - 3.5 g/t,"SCH1STS,METABASICS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.
208,HARUR-UTTARGARAI BELT,VELAMPATTI,TAMILNADU,57 L,Mo,7.762 M.TONNES,0.1%-0.03% Mo,"EPIDOTE-HORNBLENDE GNEISS,QTZ.VEIN",SHEAR CONTROLLED,ALKALINE COMPLEX
39,KOLAR BELT,KOLAR MINE,KARNATAKA,57 L,Au(W),"3032,000 TONNES",10.05 - 2.45 g/t,"METAVOLCAN1CS,CHAMPION GNEISS",STRATABOUND-REMOBILISED,KOLAR Gp.
207,HARUR-UTTARGARAI BELT,HARUR,TAMILNADU,57 L,Mo(REE),NA,NA,QUARTZ VEIN,DISCORDANT IN NNE SHEAR,GRANULITE
470,,HOGENEKAL,KARNATAKA,57 H,REE,OCCURRENCE,>1000 PPM (TOTAL),"PYROXENITE,SYENITE,CARBONAT1TE",RELATED TO ALKALI PLUTON,
243,,SOWANAHALLI,KARNATAKA,57 D,"Cu,Ni",OCCURRENCE,,GABBRO-NORITE-ANORTHOSITE COMPLEX,STRATABOUND-DISCORDANT,SARGUR Gp.
394,SINDUVALLI - TALLUR BELT,SINDUVALLI,KARNATAKA,57 D,Cr,OCCURRENCE,37.5%-46.95% Cr203,ULTRMAFICS,PODIFORM,SARGUR Gp.
395,SINDUVALLI - TALLUR BELT,TALLUR,KARNATAKA,57 D,Cr,OCCURRENCE,19.92%-40.05% Cr203,SERPENTINISED ULTRAMAFICS,PODIFORM,SARGUR Gp.
239,,SAMALPATTI,TAMILNADU,57 L,REE,OCCURRENCE,,"SOVITE,BEFORSITE,Ba RICH BENSTONITE",CARBONATITIC,GRANULITE BELT
250,,YELAGIRI,TAMILNADU,57 L,REE,OCCURRENCE,,"DUNITE,PYROXINITE,SYENITE,CARBONATITE",RELATED TO ALKALI PLUTON,
220,,KUVEL,KARNATAKA,48 P,Al (Bauxite),1.83 M.TONNES,40%-50% AI2O3,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE
38,KOLAR BELT,CHIGARGUNTA BLOCK,ANDHRA PRADESH,57 L,Au,4.110 MT,3.34 - 13.49 g/t,BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,KOLAR Gp.
42,KOLAR BELT,MALLAPAKONDA,TAMILNADU,57 L,Au,"773,000 TONNES",2.47g/t,"BFQ,AMPHIBOLITE,CHAMPION GNEISS",BIF HOSTED-CONCORDANT,KOLAR Gp.
40,KOLAR BELT,KUDITHAINAPALLE,KARNATAKA,57 L,Au(Mo),0.48 MT,"1.20g/t Au,0.1-0.2% Mo",QUARTZ REEF IN BASIC AND ACID VOLCANICS,SHEAR CONTROLLED,EASTERN GREENSTONE
37,KOLAR BELT,BISANATTAM MINE PROSPECT,KARNATAKA,57 L,Au,"40,000T(DURING CLOSURE)","5.8g/t,265 kg Au RECOVERED",QUARTZ VEIN IN AMPHIBOLITE SCHIST,STRATABOUND,EASTERN GREENSTONE
301,NUGGIHALLI BELT,KEMPINKOTE MINE,KARNATAKA,57 D,Au,3.5 M.TONNES FOR WIDHT 49.92 m,1.225 g/t,AURIFEROUS QTZ.LODE IN METAULTRAMAFITES,REMOBILISED QUARTZ VEINS-STRATABOUND,SARGUR Gp.
43,OLAR BELT,SURAPALLE PROSPECT,KARNATAKA,57 L,Au,0.11 M.TONNES(PROBABLE),4.55 g/t & 7.51 g/t,METAACID TUFF(CHAMPION GNEISS),CONCORDANT SILICIFIC ZONE,EASTERN GREENSTONE
299,NUGGIHALLI BELT,JAMBUA,KARNATAKA,57 D,Cr,"76,360 TONNES",36.93-40.30% Cr2O3,"SERPENTINITE,PERIDOTITE",PODIFORM,SARGUR Gp.
436,WESTERN GHAT BELT,BALLALAYAYANADURG HILLOCK,KARNATAKA,480,Fe(Magnetite),836 M.TONNES,22.9%-44.29% Fe,METASEDIMENTS-METAVOLCANCIS,CONCORDANT,BABABUDAN Op.
